"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.04.2023","130,48","130,06","130,84","128,40","3,84M","0,54%"
"11.04.2023","129,78","131,86","132,00","128,30","6,80M","-1,43%"
"10.04.2023","131,66","132,24","132,40","130,00","5,39M","0,21%"
"07.04.2023","131,38","131,08","131,70","128,00","9,24M","0,03%"
"06.04.2023","131,34","133,06","135,46","130,22","15,36M","-1,26%"
"05.04.2023","133,02","131,70","133,50","130,52","2,31M","0,44%"
"04.04.2023","132,44","133,30","133,80","131,22","3,25M","-0,45%"
"03.04.2023","133,04","130,44","133,90","130,42","4,19M","1,99%"
"31.03.2023","130,44","130,60","130,60","128,34","5,21M","-0,12%"
"30.03.2023","130,60","132,30","133,44","129,80","4,85M","-0,94%"
"29.03.2023","131,84","128,00","134,44","127,10","10,37M","3,37%"
"28.03.2023","127,54","128,58","128,94","126,56","2,27M","-0,50%"
"27.03.2023","128,18","127,00","128,42","126,86","2,81M","1,33%"
"24.03.2023","126,50","126,20","126,50","125,40","1,26M","0,24%"
"23.03.2023","126,20","125,00","126,54","123,92","2,88M","0,88%"
"22.03.2023","125,10","125,98","126,32","125,00","1,49M","-0,78%"
"21.03.2023","126,08","128,24","128,58","125,12","3,45M","-1,18%"
"20.03.2023","127,58","125,40","128,00","124,42","5,78M","1,98%"
"17.03.2023","125,10","125,02","125,96","124,32","3,99M","0,77%"
"16.03.2023","124,14","123,80","124,32","120,80","3,42M","0,26%"
"15.03.2023","123,82","125,94","126,42","122,50","3,35M","-1,50%"
"14.03.2023","125,70","125,00","126,26","124,02","2,72M","0,62%"
"13.03.2023","124,92","127,00","127,20","124,02","4,50M","-1,36%"
"10.03.2023","126,64","125,90","127,20","125,40","2,66M","0,14%"
"09.03.2023","126,46","126,40","127,22","125,22","2,63M","0,06%"
"07.03.2023","126,38","126,90","127,40","125,70","3,38M","-0,46%"
"06.03.2023","126,96","128,50","129,10","126,60","5,01M","-1,06%"
"03.03.2023","128,32","126,20","128,54","125,30","2,94M","1,73%"
"02.03.2023","126,14","127,90","128,90","124,32","6,61M","-1,44%"
"01.03.2023","127,98","125,98","128,52","125,14","5,70M","2,22%"
"28.02.2023","125,20","124,20","126,00","123,80","5,40M","0,92%"
"27.02.2023","124,06","119,88","124,64","117,84","6,00M","3,38%"
"24.02.2023","120,00","121,32","122,44","118,90","3,08M","-0,78%"
"22.02.2023","120,94","122,02","122,38","119,56","4,05M","-0,69%"
"21.02.2023","121,78","117,88","122,00","117,72","6,03M","3,33%"
"20.02.2023","117,86","117,22","118,34","114,40","3,84M","0,36%"
"17.02.2023","117,44","116,88","118,60","115,74","4,33M","-0,47%"
"16.02.2023","118,00","118,40","120,34","115,46","5,49M","0,34%"
"15.02.2023","117,60","122,50","122,58","115,20","6,67M","-4,34%"
"14.02.2023","122,94","126,26","126,66","122,76","4,20M","-2,97%"
"13.02.2023","126,70","125,04","127,48","125,02","4,23M","1,36%"
"10.02.2023","125,00","122,04","125,70","121,72","7,15M","2,04%"
"09.02.2023","122,50","119,30","123,24","118,34","4,59M","2,68%"
"08.02.2023","119,30","121,90","122,42","119,10","3,49M","-2,08%"
"07.02.2023","121,84","123,22","123,90","120,80","3,42M","-1,30%"
"06.02.2023","123,44","120,40","123,68","119,82","5,09M","2,63%"
"03.02.2023","120,28","120,22","120,68","118,10","4,16M","0,05%"
"02.02.2023","120,22","119,80","120,88","118,00","5,56M","1,06%"
"01.02.2023","118,96","117,00","120,00","116,50","5,21M","1,85%"
"31.01.2023","116,80","115,40","116,98","114,80","2,92M","1,42%"
"30.01.2023","115,16","113,76","115,38","113,76","3,01M","1,23%"
"27.01.2023","113,76","112,38","113,98","112,22","2,29M","1,25%"
"26.01.2023","112,36","111,76","113,16","111,24","1,87M","0,64%"
"25.01.2023","111,64","111,26","112,10","110,72","1,70M","0,34%"
"24.01.2023","111,26","111,82","112,80","111,08","1,77M","-0,68%"
"23.01.2023","112,02","112,30","112,46","111,28","1,60M","0,04%"
"20.01.2023","111,98","111,80","112,28","110,88","1,82M","0,43%"
"19.01.2023","111,50","111,50","112,46","110,58","2,79M","-0,04%"
"18.01.2023","111,54","111,30","113,30","110,84","3,26M","0,14%"
"17.01.2023","111,38","114,38","114,52","111,00","4,75M","-2,55%"
"16.01.2023","114,30","112,20","114,48","112,20","4,36M","1,91%"
