"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.06.2023","5.101,0","5.164,5","5.164,5","5.073,0","933,29K","-0,94%"
"06.06.2023","5.149,5","5.145,0","5.175,5","4.962,5","2,20M","-0,33%"
"05.06.2023","5.166,5","5.401,0","5.420,0","5.155,5","2,09M","-4,02%"
"02.06.2023","5.383,0","5.303,0","5.454,0","5.302,0","3,23M","-5,30%"
"01.06.2023","5.684,0","5.570,0","5.685,0","5.540,0","1,77M","2,07%"
"31.05.2023","5.569,0","5.590,5","5.594,0","5.505,0","1,14M","0,71%"
"30.05.2023","5.530,0","5.515,0","5.698,5","5.461,5","2,58M","-0,15%"
"29.05.2023","5.538,5","5.341,0","5.547,5","5.332,0","2,22M","4,57%"
"26.05.2023","5.296,5","5.207,5","5.298,5","5.203,0","979,24K","1,79%"
"25.05.2023","5.203,5","5.198,0","5.209,0","5.160,5","858,84K","0,22%"
"24.05.2023","5.192,0","5.185,0","5.215,0","5.142,0","953,70K","0,37%"
"23.05.2023","5.173,0","5.094,0","5.174,0","5.065,0","930,01K","1,63%"
"22.05.2023","5.090,0","5.112,0","5.116,0","5.057,0","469,49K","0,23%"
"19.05.2023","5.078,5","5.070,0","5.078,5","5.013,0","669,41K","0,07%"
"18.05.2023","5.075,0","5.110,0","5.120,0","5.070,0","665,35K","-0,43%"
"17.05.2023","5.097,0","5.094,5","5.120,0","5.060,5","692,80K","0,22%"
"16.05.2023","5.086,0","5.068,0","5.120,0","5.020,5","1,49M","0,80%"
"15.05.2023","5.045,5","4.840,0","5.055,0","4.838,0","1,88M","4,70%"
"12.05.2023","4.819,0","4.800,0","4.842,5","4.751,0","973,51K","0,64%"
"11.05.2023","4.788,5","4.728,5","4.849,5","4.681,0","2,37M","1,54%"
"10.05.2023","4.716,0","4.560,0","4.716,0","4.559,0","1,01M","3,32%"
"08.05.2023","4.564,5","4.524,5","4.599,5","4.517,5","363,54K","1,23%"
"05.05.2023","4.509,0","4.547,5","4.557,5","4.501,5","433,75K","-0,85%"
"04.05.2023","4.547,5","4.529,5","4.564,5","4.512,5","491,93K","0,87%"
"03.05.2023","4.508,5","4.581,0","4.638,0","4.491,0","1,11M","-1,58%"
"02.05.2023","4.581,0","4.680,0","4.705,0","4.552,0","856,74K","-2,00%"
"28.04.2023","4.674,5","4.710,0","4.710,0","4.641,5","541,27K","-0,54%"
"27.04.2023","4.700,0","4.659,0","4.710,5","4.655,0","510,78K","0,88%"
"26.04.2023","4.659,0","4.695,0","4.706,0","4.627,5","646,92K","-0,64%"
"25.04.2023","4.689,0","4.714,0","4.720,0","4.678,0","391,57K","-0,46%"
"24.04.2023","4.710,5","4.728,5","4.750,0","4.692,5","531,21K","-0,40%"
"21.04.2023","4.729,5","4.759,5","4.776,5","4.711,0","855,35K","-0,35%"
"20.04.2023","4.746,0","4.539,5","4.794,5","4.462,0","3,66M","4,55%"
"19.04.2023","4.539,5","4.600,0","4.609,5","4.528,0","1,23M","-1,30%"
"18.04.2023","4.599,5","4.649,5","4.658,0","4.583,5","886,11K","-0,87%"
"17.04.2023","4.640,0","4.660,0","4.670,0","4.629,5","663,50K","0,48%"
"14.04.2023","4.618,0","4.612,5","4.629,0","4.553,5","956,04K","0,12%"
"13.04.2023","4.612,5","4.686,0","4.686,0","4.590,0","903,15K","-1,23%"
"12.04.2023","4.670,0","4.668,0","4.728,5","4.630,0","937,99K","1,08%"
"11.04.2023","4.620,0","4.650,5","4.689,0","4.575,0","898,48K","-0,66%"
"10.04.2023","4.650,5","4.636,0","4.661,0","4.620,0","605,84K","0,29%"
"07.04.2023","4.637,0","4.610,5","4.638,5","4.520,0","642,43K","1,13%"
"06.04.2023","4.585,0","4.541,5","4.623,5","4.475,5","937,87K","0,99%"
"05.04.2023","4.540,0","4.509,5","4.545,0","4.460,0","559,41K","0,65%"
"04.04.2023","4.510,5","4.491,5","4.575,5","4.476,5","918,08K","0,83%"
"03.04.2023","4.473,5","4.499,5","4.508,5","4.422,0","1,13M","2,78%"
"31.03.2023","4.352,5","4.379,0","4.389,0","4.280,5","675,59K","-0,68%"
"30.03.2023","4.382,5","4.349,5","4.388,5","4.320,0","440,24K","0,93%"
"29.03.2023","4.342,0","4.323,0","4.360,0","4.294,0","421,82K","0,51%"
"28.03.2023","4.320,0","4.331,0","4.350,5","4.271,0","490,57K","-0,05%"
"27.03.2023","4.322,0","4.230,0","4.343,5","4.217,0","586,53K","2,75%"
"24.03.2023","4.206,5","4.178,0","4.221,0","4.158,0","242,46K","0,69%"
"23.03.2023","4.177,5","4.199,5","4.215,0","4.159,0","373,94K","-0,36%"
"22.03.2023","4.192,5","4.216,0","4.254,0","4.184,0","419,84K","-0,57%"
"21.03.2023","4.216,5","4.230,0","4.287,5","4.167,5","886,70K","-0,28%"
"20.03.2023","4.228,5","4.128,0","4.247,5","4.090,5","961,02K","2,85%"
"17.03.2023","4.111,5","4.095,0","4.140,0","4.073,0","921,98K","0,67%"
"16.03.2023","4.084,0","4.013,0","4.092,0","4.011,0","628,47K","1,54%"
"15.03.2023","4.022,0","4.077,0","4.079,0","4.009,0","540,00K","-1,01%"
"14.03.2023","4.063,0","4.059,0","4.095,0","4.044,0","364,33K","-0,07%"
"13.03.2023","4.066,0","4.090,5","4.120,0","4.039,0","458,63K","-0,47%"
"10.03.2023","4.085,0","4.088,0","4.111,0","4.035,0","411,77K","-0,49%"
"09.03.2023","4.105,0","4.125,0","4.136,0","4.099,0","369,04K","-0,48%"
"07.03.2023","4.125,0","4.124,5","4.138,0","4.090,0","446,45K","0,33%"
"06.03.2023","4.111,5","4.048,0","4.129,0","4.045,5","767,48K","2,01%"
"03.03.2023","4.030,5","4.003,0","4.048,0","4.001,5","467,51K","0,66%"
"02.03.2023","4.004,0","4.056,5","4.078,0","3.966,0","1,01M","-1,28%"
"01.03.2023","4.056,0","4.012,0","4.060,0","3.978,0","827,96K","1,65%"
"28.02.2023","3.990,0","3.905,5","4.021,0","3.903,0","1,17M","2,23%"
"27.02.2023","3.903,0","3.881,5","3.920,0","3.881,5","317,56K","0,05%"
"24.02.2023","3.901,0","3.916,0","3.925,0","3.880,0","123,66K","-0,22%"
"22.02.2023","3.909,5","3.915,5","3.925,0","3.873,0","195,65K","-0,13%"
"21.02.2023","3.914,5","3.912,0","3.950,0","3.901,5","373,58K","0,24%"
"20.02.2023","3.905,0","3.849,5","3.927,5","3.804,0","451,38K","1,69%"
"17.02.2023","3.840,0","3.830,0","3.860,0","3.802,5","250,59K","0,26%"
"16.02.2023","3.830,0","3.840,0","3.873,5","3.811,5","342,42K","0,03%"
"15.02.2023","3.829,0","3.903,0","3.906,0","3.800,0","701,27K","-2,18%"
"14.02.2023","3.914,5","3.928,5","3.937,0","3.905,0","287,64K","-0,36%"
"13.02.2023","3.928,5","3.941,5","3.948,0","3.911,0","285,21K","0,18%"
"10.02.2023","3.921,5","3.915,0","3.969,5","3.903,5","315,59K","0,19%"
"09.02.2023","3.914,0","3.949,0","3.960,0","3.907,5","295,57K","-0,42%"
"08.02.2023","3.930,5","3.979,0","3.998,5","3.903,0","533,76K","-0,95%"
"07.02.2023","3.968,0","3.950,5","3.977,0","3.931,0","390,66K","0,69%"
"06.02.2023","3.941,0","3.908,0","3.946,5","3.902,0","412,52K","0,86%"
"03.02.2023","3.907,5","3.918,0","3.920,0","3.880,0","551,15K","-0,28%"
"02.02.2023","3.918,5","3.955,5","3.960,0","3.900,5","567,89K","-0,94%"
"01.02.2023","3.955,5","3.959,5","3.989,0","3.935,0","354,76K","0,01%"
"31.01.2023","3.955,0","3.947,0","3.972,5","3.925,5","377,66K","0,19%"
"30.01.2023","3.947,5","3.929,0","3.954,0","3.917,0","321,30K","0,78%"
"27.01.2023","3.917,0","3.911,0","3.920,0","3.892,5","473,47K","0,15%"
"26.01.2023","3.911,0","3.924,0","3.935,0","3.901,5","326,41K","-0,32%"
"25.01.2023","3.923,5","3.949,0","3.960,0","3.900,5","542,13K","-0,48%"
"24.01.2023","3.942,5","3.986,0","3.990,0","3.930,5","296,37K","-0,76%"
"23.01.2023","3.972,5","3.950,0","3.979,5","3.944,5","340,22K","0,72%"
"20.01.2023","3.944,0","3.982,0","3.995,0","3.925,0","384,13K","-0,93%"
"19.01.2023","3.981,0","4.019,5","4.020,0","3.974,0","414,21K","-0,99%"
"18.01.2023","4.021,0","4.037,5","4.049,0","4.012,0","270,72K","-0,10%"
"17.01.2023","4.025,0","4.052,5","4.060,5","4.015,0","326,71K","-0,67%"
"16.01.2023","4.052,0","4.078,0","4.096,5","4.045,0","463,29K","-0,54%"
