"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.06.2023","245,18","245,11","245,94","243,22","40,06M","0,24%"
"14.06.2023","244,60","245,70","247,68","242,80","52,21M","0,11%"
"13.06.2023","244,33","241,51","244,50","240,63","40,55M","1,63%"
"09.06.2023","240,40","242,80","243,00","240,11","27,57M","-0,57%"
"08.06.2023","241,77","241,30","242,78","239,55","29,95M","0,22%"
"07.06.2023","241,25","241,20","244,39","238,56","63,13M","0,14%"
"06.06.2023","240,91","235,92","242,10","232,54","100,64M","1,60%"
"05.06.2023","237,12","243,51","244,15","235,10","78,74M","-2,80%"
"02.06.2023","243,95","242,00","245,50","240,77","46,54M","0,95%"
"01.06.2023","241,66","247,00","247,00","240,57","52,05M","-1,83%"
"31.05.2023","246,17","244,00","247,18","240,27","72,91M","0,62%"
"30.05.2023","244,65","248,84","250,85","243,80","83,53M","-2,60%"
"29.05.2023","251,18","249,78","252,59","248,85","68,00M","1,24%"
"26.05.2023","248,10","243,45","249,64","242,81","69,20M","1,78%"
"25.05.2023","243,76","246,10","247,40","242,65","70,88M","-0,93%"
"24.05.2023","246,06","237,49","246,13","236,26","86,01M","4,07%"
"23.05.2023","236,43","231,25","237,29","230,21","63,01M","2,35%"
"22.05.2023","231,00","232,20","232,78","230,00","26,49M","-0,12%"
"19.05.2023","231,27","230,99","232,30","229,81","31,64M","-0,19%"
"18.05.2023","231,70","231,70","234,49","230,72","56,23M","0,50%"
"17.05.2023","230,55","229,86","230,97","228,75","31,77M","-0,03%"
"16.05.2023","230,62","232,40","232,86","229,57","36,61M","-0,47%"
"15.05.2023","231,70","230,51","231,75","228,52","49,09M","1,05%"
"12.05.2023","229,29","231,00","232,47","226,15","70,53M","-0,01%"
"11.05.2023","229,32","228,87","235,38","223,94","197,30M","1,00%"
"10.05.2023","227,06","216,50","227,50","215,70","156,87M","-4,70%"
"08.05.2023","238,27","238,69","239,86","237,36","47,87M","0,24%"
"05.05.2023","237,70","239,24","240,66","237,30","61,37M","-0,50%"
"04.05.2023","238,89","236,89","239,74","236,05","53,08M","1,32%"
"03.05.2023","235,77","242,85","242,99","234,00","76,83M","-2,82%"
"02.05.2023","242,62","242,20","245,00","237,40","83,96M","0,93%"
"28.04.2023","240,38","240,90","241,58","237,66","49,58M","0,00%"
"27.04.2023","240,38","235,59","240,74","235,13","68,31M","2,20%"
"26.04.2023","235,21","235,60","235,95","234,91","24,43M","-0,04%"
"25.04.2023","235,30","235,13","235,82","234,21","32,19M","0,09%"
"24.04.2023","235,10","235,07","236,40","234,10","30,54M","-0,03%"
"21.04.2023","235,17","237,40","238,85","233,52","115,91M","-0,47%"
"20.04.2023","236,28","233,32","236,47","229,84","85,09M","1,43%"
"19.04.2023","232,95","232,67","237,37","231,10","115,71M","0,12%"
"18.04.2023","232,66","227,89","232,76","227,05","97,77M","2,00%"
"17.04.2023","228,10","222,98","228,20","222,91","78,80M","2,81%"
"14.04.2023","221,87","220,00","222,50","218,51","43,32M","0,92%"
"13.04.2023","219,85","219,49","220,89","218,00","32,67M","0,29%"
"12.04.2023","219,22","218,60","219,70","216,67","44,77M","0,28%"
"11.04.2023","218,60","222,90","223,33","217,62","98,54M","-1,62%"
"10.04.2023","222,21","217,10","222,26","216,61","85,20M","2,75%"
"07.04.2023","216,27","214,50","216,39","213,65","29,20M","0,94%"
"06.04.2023","214,25","216,30","217,38","214,07","39,06M","-0,88%"
"05.04.2023","216,15","214,65","216,30","211,40","46,18M","0,61%"
"04.04.2023","214,83","216,20","217,29","213,80","45,80M","-0,58%"
"03.04.2023","216,09","218,45","219,44","214,80","55,18M","-0,24%"
"31.03.2023","216,60","217,20","217,35","211,30","88,08M","-0,12%"
"30.03.2023","216,87","217,30","218,45","216,12","40,89M","-0,51%"
"29.03.2023","217,99","214,85","219,53","213,60","96,68M","1,85%"
"28.03.2023","214,03","212,86","214,70","210,67","73,90M","1,03%"
"27.03.2023","211,84","204,01","213,20","204,01","101,52M","4,06%"
"24.03.2023","203,57","202,86","203,85","202,00","24,33M","0,49%"
"23.03.2023","202,58","202,53","204,20","202,22","26,65M","-0,15%"
"22.03.2023","202,89","203,40","204,40","201,59","57,57M","-0,21%"
"21.03.2023","203,32","204,76","208,00","201,25","122,58M","-0,20%"
"20.03.2023","203,73","196,02","205,09","195,00","156,71M","5,24%"
"17.03.2023","193,59","183,00","193,66","178,56","388,16M","10,34%"
"16.03.2023","175,45","174,94","176,04","173,36","51,53M","0,09%"
"15.03.2023","175,30","176,00","177,37","173,59","79,93M","-0,23%"
"14.03.2023","175,71","171,61","176,95","171,01","89,33M","2,07%"
"13.03.2023","172,15","172,50","173,90","169,26","74,03M","-0,22%"
"10.03.2023","172,53","171,55","173,00","170,58","50,26M","-0,01%"
"09.03.2023","172,55","174,85","174,89","172,21","80,39M","-0,84%"
"07.03.2023","174,01","171,87","174,20","171,00","55,29M","1,26%"
"06.03.2023","171,84","172,14","172,99","171,35","64,59M","0,40%"
"03.03.2023","171,16","168,17","171,26","167,90","49,57M","1,85%"
"02.03.2023","168,05","170,40","170,40","166,55","86,10M","-1,45%"
"01.03.2023","170,53","170,40","171,66","169,50","53,78M","0,42%"
"28.02.2023","169,82","170,50","171,92","168,37","80,75M","-0,08%"
"27.02.2023","169,95","163,52","170,00","162,96","100,13M","3,44%"
"24.02.2023","164,30","163,33","165,50","163,10","37,73M","0,57%"
"22.02.2023","163,37","164,13","164,42","162,50","43,77M","-0,48%"
"21.02.2023","164,15","160,66","165,65","159,26","127,42M","2,54%"
"20.02.2023","160,09","159,41","161,30","156,73","63,97M","0,23%"
"17.02.2023","159,73","158,00","160,38","156,91","52,18M","0,95%"
"16.02.2023","158,22","157,33","159,30","156,25","68,55M","1,26%"
"15.02.2023","156,25","160,94","161,12","153,83","113,80M","-3,47%"
"14.02.2023","161,86","164,30","164,38","161,64","58,83M","-1,50%"
"13.02.2023","164,32","165,20","166,88","164,17","36,21M","-0,72%"
"10.02.2023","165,52","165,00","166,49","164,50","40,92M","0,13%"
"09.02.2023","165,31","164,33","167,47","161,27","107,14M","0,71%"
"08.02.2023","164,15","165,00","166,35","162,70","58,67M","-0,75%"
"07.02.2023","165,39","167,30","168,70","163,40","92,66M","-1,02%"
"06.02.2023","167,09","161,78","167,17","161,01","89,08M","3,62%"
"03.02.2023","161,26","159,10","162,32","157,88","63,74M","1,14%"
"02.02.2023","159,45","158,40","160,29","157,37","53,87M","0,73%"
"01.02.2023","158,29","158,20","159,60","156,50","66,33M","0,14%"
"31.01.2023","158,07","153,51","158,18","153,30","77,89M","3,06%"
"30.01.2023","153,38","153,50","153,88","152,21","31,11M","0,12%"
"27.01.2023","153,20","152,40","153,48","151,69","34,12M","0,52%"
"26.01.2023","152,40","153,32","154,30","151,73","45,51M","-0,27%"
"25.01.2023","152,81","152,45","153,60","151,50","43,38M","0,10%"
"24.01.2023","152,66","153,95","155,58","152,28","78,73M","-0,55%"
"23.01.2023","153,50","151,90","154,10","151,01","55,20M","1,40%"
"20.01.2023","151,38","149,70","151,40","148,64","44,25M","1,37%"
"19.01.2023","149,34","151,20","152,85","148,56","66,81M","-1,41%"
"18.01.2023","151,47","150,40","153,00","149,41","67,51M","0,68%"
"17.01.2023","150,45","154,00","154,31","150,01","84,40M","-2,12%"
"16.01.2023","153,71","152,89","154,00","151,88","51,75M","1,33%"
